,Artists,Song,Rank,Week
1729,Calvin Harris & Dua Lipa,One Kiss,30,2018-08-11
1730,Shawn Mendes,In My Blood,31,2018-08-11
1731,Brett Young,Mercy,32,2018-08-11
1732,Lauv,I Like Me Better,33,2018-08-11
1733,Florida Georgia Line,Simple,34,2018-08-11
1734,The Carters,Apes**t,35,2018-08-11
1735,Camila Cabello,Never Be The Same,36,2018-08-11
1736,Imagine Dragons,Whatever It Takes,37,2018-08-11
1737,XXXTENTACION,Moonlight,38,2018-08-11
1738,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,39,2018-08-11
1739,BlocBoy JB Featuring Drake,Look Alive,40,2018-08-11
1740,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,41,2018-08-11
1741,Imagine Dragons,Natural,42,2018-08-11
1742,Cardi B,Be Careful,43,2018-08-11
1743,"Benny Blanco, Halsey & Khalid",Eastside,44,2018-08-11
1744,Drake,I'm Upset,45,2018-08-11
1745,Thomas Rhett,Life Changes,46,2018-08-11
1746,Demi Lovato,Sober,47,2018-08-11
1747,Foster The People,Sit Next To Me,48,2018-08-11
1748,Luke Combs,One Number Away,49,2018-08-11
1749,Luke Bryan,"Sunrise, Sunburn, Sunset",50,2018-08-11
1750,Keith Urban Featuring Julia Michaels,Coming Home,51,2018-08-11
1751,Childish Gambino,This Is America,52,2018-08-11
1752,Bebe Rexha,I'm A Mess,53,2018-08-11
1753,Queen Naija,Medicine,54,2018-08-11
1754,Chris Lane Featuring Tori Kelly,Take Back Home Girl,55,2018-08-11
1755,XXXTENTACION,Changes,56,2018-08-11
1756,Juice WRLD,All Girls Are The Same,57,2018-08-11
1757,Clean Bandit Featuring Demi Lovato,Solo,58,2018-08-11
1758,Ciara,Level Up,59,2018-08-11
1759,Old Dominion,Hotel Key,60,2018-08-11
1760,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,61,2018-08-11
1761,Jake Owen,I Was Jack (You Were Diane),62,2018-08-11
1762,Nicki Minaj Featuring Ariana Grande,Bed,63,2018-08-11
1763,Drake,Mob Ties,64,2018-08-11
1764,Backstreet Boys,Don't Go Breaking My Heart,65,2018-08-11
1765,Drake Featuring Michael Jackson,Don't Matter To Me,66,2018-08-11
1766,Morgan Evans,Kiss Somebody,67,2018-08-11
1767,Weezer,Africa,68,2018-08-11
1768,lovelytheband,Broken,69,2018-08-11
1769,Becky G + Natti Natasha,Sin Pijama,70,2018-08-11
1770,Alessia Cara,Growing Pains,71,2018-08-11
1771,Dylan Scott,Hooked,72,2018-08-11
1772,Morgan Wallen Featuring Florida Georgia Line,Up Down,73,2018-08-11
1773,Kygo Featuring Miguel,Remind Me To Forget,74,2018-08-11
1774,Juice WRLD Featuring Lil Uzi Vert,Wasted,75,2018-08-11
1775,TK Kravitz Featuring Jacqueez,Ocean,76,2018-08-11
1776,G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,77,2018-08-11
1777,Lauren Daigle,You Say,78,2018-08-11
1778,Childish Gambino,Summertime Magic,79,2018-08-11
1779,Logic Featuring Ryan Tedder,One Day,80,2018-08-11
1780,Carrie Underwood,Cry Pretty,81,2018-08-11
1781,Daniel Caesar Featuring H.E.R.,Best Part,82,2018-08-11
1782,Lil Dicky Featuring Chris Brown,Freaky Friday,83,2018-08-11
1783,A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),84,2018-08-11
1784,Cole Swindell,Break Up In The End,85,2018-08-11
1785,Dennis Lloyd,Nevermind,86,2018-08-11
1786,The Chainsmokers Featuring Emily Warren,Side Effects,87,2018-08-11
1787,"Khalid, Ty Dolla $ign & 6LACK",OTW,88,2018-08-11
1788,Post Malone Featuring Nicki Minaj,Ball For Me,89,2018-08-11
1789,NF,Lie,90,2018-08-11
1790,Migos,Narcos,91,2018-08-11
1791,Yella Beezy,That's On Me,92,2018-08-11
1792,Eric Church,Desperate Man,93,2018-08-11
1793,Kane Brown,Lose It,94,2018-08-11
1794,The Weeknd,Call Out My Name,95,2018-08-11
1795,Kanye West,All Mine,96,2018-08-11
1796,Martin Garrix Featuring Khalid,Ocean,97,2018-08-11
1797,Queen Naija,Karma,98,2018-08-11
1798,YG Featuring A$AP Rocky,Handgun,99,2018-08-11
1799,Mitchell Tenpenny,Drunk Me,100,2018-08-11
1800,Drake,In My Feelings,1,2018-08-04
1801,"Cardi B, Bad Bunny & J Balvin",I Like It,2,2018-08-04
1802,Maroon 5 Featuring Cardi B,Girls Like You,3,2018-08-04
1803,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,4,2018-08-04
1804,Post Malone,Better Now,5,2018-08-04
1805,Drake,Nice For What,6,2018-08-04
1806,Ella Mai,Boo'd Up,7,2018-08-04
1807,Juice WRLD,Lucid Dreams,8,2018-08-04
1808,Post Malone Featuring Ty Dolla $ign,Psycho,9,2018-08-04
1809,Tyga Featuring Offset,Taste,10,2018-08-04
1810,Ariana Grande,No Tears Left To Cry,11,2018-08-04
1811,Taylor Swift,Delicate,12,2018-08-04
1812,Drake,God's Plan,13,2018-08-04
1813,Lil Baby & Drake,Yes Indeed,14,2018-08-04
1814,"Zedd, Maren Morris & Grey",The Middle,15,2018-08-04
1815,Marshmello & Anne-Marie,Friends,16,2018-08-04
1816,Ed Sheeran,Perfect,17,2018-08-04
1817,Khalid & Normani,Love Lies,18,2018-08-04
1818,XXXTENTACION,Sad!,19,2018-08-04
1819,Bebe Rexha & Florida Georgia Line,Meant To Be,20,2018-08-04
1820,Ariana Grande,God Is A Woman,21,2018-08-04
1821,Bazzi,Mine,22,2018-08-04
1822,Shawn Mendes,In My Blood,23,2018-08-04
1823,Dan + Shay,Tequila,24,2018-08-04
1824,5 Seconds Of Summer,Youngblood,25,2018-08-04
1825,Selena Gomez,Back To You,26,2018-08-04
1826,Calvin Harris & Dua Lipa,One Kiss,27,2018-08-04
1827,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,28,2018-08-04
1828,Drake,Nonstop,29,2018-08-04
1829,The Carters,Apes**t,30,2018-08-04
1830,Lauv,I Like Me Better,31,2018-08-04
1831,Camila Cabello,Never Be The Same,32,2018-08-04
1832,Brett Young,Mercy,33,2018-08-04
1833,Imagine Dragons,Whatever It Takes,34,2018-08-04
1834,Kenny Chesney,Get Along,35,2018-08-04
1835,Florida Georgia Line,Simple,36,2018-08-04
1836,Imagine Dragons,Natural,37,2018-08-04
1837,Drake,I'm Upset,38,2018-08-04
1838,XXXTENTACION,Moonlight,39,2018-08-04
1839,BlocBoy JB Featuring Drake,Look Alive,40,2018-08-04
1840,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,41,2018-08-04
1841,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,42,2018-08-04
1842,Jake Owen,I Was Jack (You Were Diane),43,2018-08-04
1843,Foster The People,Sit Next To Me,44,2018-08-04
1844,Childish Gambino,This Is America,45,2018-08-04
1845,Cardi B,Be Careful,46,2018-08-04
1846,Nicky Jam x J Balvin,X,47,2018-08-04
1847,Luke Combs,One Number Away,48,2018-08-04
1848,Thomas Rhett,Life Changes,49,2018-08-04
1849,Keith Urban Featuring Julia Michaels,Coming Home,50,2018-08-04
1850,XXXTENTACION,Changes,51,2018-08-04
1851,"Benny Blanco, Halsey & Khalid",Eastside,52,2018-08-04
1852,Drake,Mob Ties,53,2018-08-04
1853,Drake Featuring Michael Jackson,Don't Matter To Me,54,2018-08-04
1854,Nicki Minaj Featuring Ariana Grande,Bed,55,2018-08-04
1855,Demi Lovato,Sober,56,2018-08-04
1856,Chris Lane Featuring Tori Kelly,Take Back Home Girl,57,2018-08-04
1857,Juice WRLD,All Girls Are The Same,58,2018-08-04
1858,Luke Bryan,"Sunrise, Sunburn, Sunset",59,2018-08-04
1859,Chance The Rapper,I Might Need Security,60,2018-08-04
1860,Clean Bandit Featuring Demi Lovato,Solo,61,2018-08-04
1861,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,62,2018-08-04
1862,Old Dominion,Hotel Key,63,2018-08-04
1863,Bebe Rexha,I'm A Mess,64,2018-08-04
1864,Queen Naija,Medicine,65,2018-08-04
1865,Alessia Cara,Growing Pains,66,2018-08-04
1866,Juice WRLD Featuring Lil Uzi Vert,Wasted,67,2018-08-04
1867,Backstreet Boys,Don't Go Breaking My Heart,68,2018-08-04
1868,Childish Gambino,Summertime Magic,69,2018-08-04
1869,Morgan Wallen Featuring Florida Georgia Line,Up Down,70,2018-08-04
1870,Morgan Evans,Kiss Somebody,71,2018-08-04
1871,Becky G + Natti Natasha,Sin Pijama,72,2018-08-04
1872,Lil Dicky Featuring Chris Brown,Freaky Friday,73,2018-08-04
1873,Lauren Daigle,You Say,74,2018-08-04
1874,lovelytheband,Broken,75,2018-08-04
1875,Dylan Scott,Hooked,76,2018-08-04
1876,Ciara,Level Up,77,2018-08-04
1877,TK Kravitz Featuring Jacqueez,Ocean,78,2018-08-04
1878,Kygo Featuring Miguel,Remind Me To Forget,79,2018-08-04
1879,"Khalid, Ty Dolla $ign & 6LACK",OTW,80,2018-08-04
1880,Daniel Caesar Featuring H.E.R.,Best Part,81,2018-08-04
1881,G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,82,2018-08-04
1882,Post Malone Featuring Nicki Minaj,Ball For Me,83,2018-08-04
1883,Carrie Underwood,Cry Pretty,84,2018-08-04
1884,Martin Garrix Featuring Khalid,Ocean,85,2018-08-04
1885,Weezer,Africa,86,2018-08-04
1886,Cole Swindell,Break Up In The End,87,2018-08-04
1887,twenty one pilots,Jumpsuit,88,2018-08-04
1888,The Weeknd,Call Out My Name,89,2018-08-04
1889,Dennis Lloyd,Nevermind,90,2018-08-04
1890,Kanye West,All Mine,91,2018-08-04
1891,Migos,Narcos,92,2018-08-04
1892,Billie Eilish,You Should See Me In A Crown,93,2018-08-04
1893,Eric Church,Desperate Man,94,2018-08-04
1894,Wiz Khalifa Featuring Swae Lee,Hopeless Romantic,95,2018-08-04
1895,A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),96,2018-08-04
1896,NF,Lie,97,2018-08-04
1897,Kane Brown,Lose It,98,2018-08-04
1898,Drake,Emotionless,99,2018-08-04
1899,Drake,Can't Take A Joke,100,2018-08-04
1900,Drake,In My Feelings,1,2018-07-28
1901,"Cardi B, Bad Bunny & J Balvin",I Like It,2,2018-07-28
1902,Maroon 5 Featuring Cardi B,Girls Like You,3,2018-07-28
1903,Drake,Nice For What,4,2018-07-28
1904,Ella Mai,Boo'd Up,5,2018-07-28
1905,Juice WRLD,Lucid Dreams,6,2018-07-28
1906,Post Malone,Better Now,7,2018-07-28
1907,Ariana Grande,No Tears Left To Cry,8,2018-07-28
1908,Post Malone Featuring Ty Dolla $ign,Psycho,9,2018-07-28
1909,Drake,God's Plan,10,2018-07-28
1910,Ariana Grande,God Is A Woman,11,2018-07-28
1911,Taylor Swift,Delicate,12,2018-07-28
1912,Tyga Featuring Offset,Taste,13,2018-07-28
1913,"Zedd, Maren Morris & Grey",The Middle,14,2018-07-28
1914,XXXTENTACION,Sad!,15,2018-07-28
1915,Lil Baby & Drake,Yes Indeed,16,2018-07-28
